Baseline,JET SDG,SDG Push,Year,indicator,Enhanced NDC
3.362,3.362,3.362,2019,CarbonEmissions,3.36249
3.341,3.341,3.341,2020,CarbonEmissions,3.34054
3.382,3.382,3.382,2021,CarbonEmissions,3.38163
3.431,3.431,3.431,2022,CarbonEmissions,3.43121
3.437,3.437,3.437,2023,CarbonEmissions,3.43658
3.435,3.436,3.435,2024,CarbonEmissions,3.43554
3.421,3.365,3.421,2025,CarbonEmissions,3.36497
3.405,3.239,3.405,2026,CarbonEmissions,3.2392
3.397,3.069,3.396,2027,CarbonEmissions,3.06955
3.412,2.892,3.409,2028,CarbonEmissions,2.89416
3.439,2.707,3.437,2029,CarbonEmissions,2.70863
3.469,2.527,3.471,2030,CarbonEmissions,2.52598
3.49,2.375,3.499,2031,CarbonEmissions,2.37152
3.49,2.237,3.507,2032,CarbonEmissions,2.23021
3.477,2.112,3.503,2033,CarbonEmissions,2.10092
3.454,1.997,3.487,2034,CarbonEmissions,1.98136
3.426,1.888,3.466,2035,CarbonEmissions,1.86852
3.393,1.786,3.44,2036,CarbonEmissions,1.7632
3.354,1.681,3.409,2037,CarbonEmissions,1.6546
3.316,1.576,3.377,2038,CarbonEmissions,1.54709
3.282,1.473,3.348,2039,CarbonEmissions,1.4428
3.253,1.374,3.325,2040,CarbonEmissions,1.34347
3.224,1.282,3.303,2041,CarbonEmissions,1.25146
3.195,1.199,3.28,2042,CarbonEmissions,1.16745
3.166,1.12,3.257,2043,CarbonEmissions,1.08751
3.13,1.045,3.226,2044,CarbonEmissions,1.01127
3.091,0.973,3.19,2045,CarbonEmissions,0.93818
3.051,0.904,3.154,2046,CarbonEmissions,0.86906
3.01,0.849,3.117,2047,CarbonEmissions,0.81453
2.971,0.802,3.08,2048,CarbonEmissions,0.76772
2.931,0.761,3.044,2049,CarbonEmissions,0.72671
2.892,0.728,3.014,2050,CarbonEmissions,0.69394
2.851,0.699,2.98,2051,CarbonEmissions,0.66624
2.809,0.677,2.941,2052,CarbonEmissions,0.64304
2.766,0.655,2.9,2053,CarbonEmissions,0.62145
2.723,0.634,2.857,2054,CarbonEmissions,0.60056
2.683,0.613,2.815,2055,CarbonEmissions,0.57975
2.642,0.589,2.774,2056,CarbonEmissions,0.55763
2.602,0.561,2.733,2057,CarbonEmissions,0.53194
2.562,0.535,2.693,2058,CarbonEmissions,0.50749
2.524,0.507,2.651,2059,CarbonEmissions,0.48203
2.485,0.483,2.611,2060,CarbonEmissions,0.46009
2.446,0.46,2.572,2061,CarbonEmissions,0.43762
2.408,0.438,2.535,2062,CarbonEmissions,0.41671
2.372,0.418,2.498,2063,CarbonEmissions,0.39684
2.335,0.398,2.464,2064,CarbonEmissions,0.37846
2.296,0.381,2.43,2065,CarbonEmissions,0.36166
2.253,0.365,2.396,2066,CarbonEmissions,0.34724
2.209,0.351,2.362,2067,CarbonEmissions,0.3338
2.165,0.338,2.33,2068,CarbonEmissions,0.32139
2.122,0.326,2.296,2069,CarbonEmissions,0.30978
2.076,0.315,2.257,2070,CarbonEmissions,0.2989
2.032,0.304,2.209,2071,CarbonEmissions,0.28881
1.985,0.294,2.156,2072,CarbonEmissions,0.27944
1.937,0.285,2.104,2073,CarbonEmissions,0.27064
1.89,0.276,2.053,2074,CarbonEmissions,0.26242
1.844,0.268,2.006,2075,CarbonEmissions,0.25473
1.799,0.26,1.961,2076,CarbonEmissions,0.24766
1.757,0.251,1.917,2077,CarbonEmissions,0.24035
1.715,0.244,1.873,2078,CarbonEmissions,0.23376
1.675,0.236,1.828,2079,CarbonEmissions,0.22697
1.635,0.229,1.784,2080,CarbonEmissions,0.22074
1.597,0.223,1.74,2081,CarbonEmissions,0.21453
1.558,0.216,1.696,2082,CarbonEmissions,0.20877
1.52,0.21,1.652,2083,CarbonEmissions,0.20304
1.482,0.204,1.607,2084,CarbonEmissions,0.19765
1.446,0.198,1.561,2085,CarbonEmissions,0.1925
1.41,0.193,1.515,2086,CarbonEmissions,0.18761
1.374,0.188,1.472,2087,CarbonEmissions,0.18297
1.339,0.183,1.431,2088,CarbonEmissions,0.17858
1.304,0.179,1.391,2089,CarbonEmissions,0.17442
1.271,0.175,1.353,2090,CarbonEmissions,0.17048
1.237,0.171,1.315,2091,CarbonEmissions,0.16675
1.203,0.168,1.278,2092,CarbonEmissions,0.16425
1.17,0.165,1.242,2093,CarbonEmissions,0.16196
1.138,0.163,1.206,2094,CarbonEmissions,0.15981
1.105,0.161,1.17,2095,CarbonEmissions,0.1578
1.074,0.159,1.134,2096,CarbonEmissions,0.15591
1.042,0.157,1.099,2097,CarbonEmissions,0.15411
1.012,0.155,1.066,2098,CarbonEmissions,0.15247
0.983,0.153,1.034,2099,CarbonEmissions,0.15096
0.955,0.152,1.004,2100,CarbonEmissions,0.14925
2.055,2.055,2.055,2019,CarbonEmissions_per_capita,2.05539
2.038,2.038,2.038,2020,CarbonEmissions_per_capita,2.03795
2.061,2.061,2.061,2021,CarbonEmissions_per_capita,2.06088
2.09,2.09,2.09,2022,CarbonEmissions_per_capita,2.09014
2.093,2.093,2.093,2023,CarbonEmissions_per_capita,2.09336
2.093,2.093,2.093,2024,CarbonEmissions_per_capita,2.09312
2.085,2.051,2.085,2025,CarbonEmissions_per_capita,2.05084
2.076,1.975,2.076,2026,CarbonEmissions_per_capita,1.97518
2.073,1.873,2.072,2027,CarbonEmissions_per_capita,1.87305
2.084,1.766,2.082,2028,CarbonEmissions_per_capita,1.76764
2.103,1.655,2.101,2029,CarbonEmissions_per_capita,1.6562
2.124,1.547,2.125,2030,CarbonEmissions_per_capita,1.5467
2.141,1.456,2.146,2031,CarbonEmissions_per_capita,1.45454
2.145,1.374,2.154,2032,CarbonEmissions_per_capita,1.37049
2.141,1.3,2.156,2033,CarbonEmissions_per_capita,1.29381
2.132,1.232,2.151,2034,CarbonEmissions_per_capita,1.22309
2.121,1.168,2.144,2035,CarbonEmissions_per_capita,1.15642
2.106,1.108,2.133,2036,CarbonEmissions_per_capita,1.09428
2.088,1.045,2.12,2037,CarbonEmissions_per_capita,1.02997
2.071,0.983,2.107,2038,CarbonEmissions_per_capita,0.96613
2.057,0.921,2.095,2039,CarbonEmissions_per_capita,0.90408
2.046,0.863,2.088,2040,CarbonEmissions_per_capita,0.84489
2.036,0.808,2.081,2041,CarbonEmissions_per_capita,0.79004
2.026,0.758,2.075,2042,CarbonEmissions_per_capita,0.74
2.016,0.711,2.069,2043,CarbonEmissions_per_capita,0.6923
2.002,0.666,2.058,2044,CarbonEmissions_per_capita,0.6467
1.987,0.623,2.044,2045,CarbonEmissions_per_capita,0.60287
1.971,0.582,2.031,2046,CarbonEmissions_per_capita,0.56131
1.956,0.549,2.017,2047,CarbonEmissions_per_capita,0.52894
1.941,0.522,2.004,2048,CarbonEmissions_per_capita,0.5014
1.927,0.498,1.993,2049,CarbonEmissions_per_capita,0.47749
1.913,0.479,1.985,2050,CarbonEmissions_per_capita,0.45887
1.899,0.463,1.975,2051,CarbonEmissions_per_capita,0.44351
1.884,0.451,1.962,2052,CarbonEmissions_per_capita,0.43106
1.869,0.44,1.948,2053,CarbonEmissions_per_capita,0.41963
1.854,0.429,1.933,2054,CarbonEmissions_per_capita,0.40858
1.841,0.417,1.919,2055,CarbonEmissions_per_capita,0.39749
1.828,0.404,1.906,2056,CarbonEmissions_per_capita,0.38539
1.815,0.388,1.892,2057,CarbonEmissions_per_capita,0.37063
1.802,0.373,1.879,2058,CarbonEmissions_per_capita,0.35654
1.79,0.357,1.865,2059,CarbonEmissions_per_capita,0.34151
1.777,0.343,1.852,2060,CarbonEmissions_per_capita,0.32875
1.764,0.329,1.839,2061,CarbonEmissions_per_capita,0.3154
1.752,0.316,1.828,2062,CarbonEmissions_per_capita,0.30293
1.741,0.304,1.817,2063,CarbonEmissions_per_capita,0.291
1.729,0.292,1.807,2064,CarbonEmissions_per_capita,0.27996
1.715,0.281,1.798,2065,CarbonEmissions_per_capita,0.26989
1.698,0.272,1.788,2066,CarbonEmissions_per_capita,0.26143
1.68,0.264,1.778,2067,CarbonEmissions_per_capita,0.25356
1.661,0.257,1.769,2068,CarbonEmissions_per_capita,0.24631
1.642,0.25,1.759,2069,CarbonEmissions_per_capita,0.23952
1.621,0.243,1.744,2070,CarbonEmissions_per_capita,0.23318
1.6,0.237,1.722,2071,CarbonEmissions_per_capita,0.22732
1.578,0.231,1.696,2072,CarbonEmissions_per_capita,0.22191
1.553,0.226,1.669,2073,CarbonEmissions_per_capita,0.21685
1.529,0.221,1.643,2074,CarbonEmissions_per_capita,0.21214
1.505,0.216,1.62,2075,CarbonEmissions_per_capita,0.20776
1.481,0.211,1.597,2076,CarbonEmissions_per_capita,0.2038
1.459,0.206,1.575,2077,CarbonEmissions_per_capita,0.19956
1.438,0.202,1.552,2078,CarbonEmissions_per_capita,0.19583
1.417,0.198,1.529,2079,CarbonEmissions_per_capita,0.19185
1.396,0.193,1.505,2080,CarbonEmissions_per_capita,0.18827
1.375,0.189,1.481,2081,CarbonEmissions_per_capita,0.18464
1.354,0.186,1.457,2082,CarbonEmissions_per_capita,0.18133
1.333,0.182,1.432,2083,CarbonEmissions_per_capita,0.17796
1.312,0.178,1.405,2084,CarbonEmissions_per_capita,0.17482
1.291,0.175,1.378,2085,CarbonEmissions_per_capita,0.17183
1.271,0.172,1.35,2086,CarbonEmissions_per_capita,0.16899
1.25,0.169,1.323,2087,CarbonEmissions_per_capita,0.16632
1.229,0.166,1.298,2088,CarbonEmissions_per_capita,0.16381
1.208,0.164,1.274,2089,CarbonEmissions_per_capita,0.16144
1.187,0.161,1.25,2090,CarbonEmissions_per_capita,0.1592
1.166,0.159,1.226,2091,CarbonEmissions_per_capita,0.15711
1.144,0.158,1.202,2092,CarbonEmissions_per_capita,0.15612
1.122,0.157,1.178,2093,CarbonEmissions_per_capita,0.1553
1.101,0.156,1.154,2094,CarbonEmissions_per_capita,0.15457
1.079,0.155,1.13,2095,CarbonEmissions_per_capita,0.15395
1.057,0.155,1.105,2096,CarbonEmissions_per_capita,0.15342
1.035,0.154,1.08,2097,CarbonEmissions_per_capita,0.15296
1.014,0.154,1.056,2098,CarbonEmissions_per_capita,0.15263
0.993,0.153,1.034,2099,CarbonEmissions_per_capita,0.15242
0.973,0.153,1.013,2100,CarbonEmissions_per_capita,0.152
6.611,6.611,6.611,2019,ChildMort5Yrs,6.61091
6.437,6.437,6.437,2020,ChildMort5Yrs,6.43665
6.175,6.175,6.175,2021,ChildMort5Yrs,6.17488
6.202,6.202,6.202,2022,ChildMort5Yrs,6.20191
6.209,6.209,6.209,2023,ChildMort5Yrs,6.20914
6.252,6.252,6.252,2024,ChildMort5Yrs,6.25167
6.253,6.251,6.249,2025,ChildMort5Yrs,6.25495
6.186,6.179,6.18,2026,ChildMort5Yrs,6.18574
6.033,6.014,6.014,2027,ChildMort5Yrs,6.03276
5.875,5.841,5.845,2028,ChildMort5Yrs,5.87145
5.698,5.646,5.654,2029,ChildMort5Yrs,5.68958
5.546,5.475,5.489,2030,ChildMort5Yrs,5.5318
5.417,5.327,5.345,2031,ChildMort5Yrs,5.39842
5.306,5.191,5.217,2032,ChildMort5Yrs,5.27879
5.204,5.069,5.101,2033,ChildMort5Yrs,5.17096
5.11,4.952,4.99,2034,ChildMort5Yrs,5.07142
5.018,4.838,4.88,2035,ChildMort5Yrs,4.97464
4.925,4.724,4.769,2036,ChildMort5Yrs,4.87823
4.832,4.609,4.657,2037,ChildMort5Yrs,4.7806
4.735,4.492,4.543,2038,ChildMort5Yrs,4.68113
4.635,4.374,4.427,2039,ChildMort5Yrs,4.57819
4.531,4.256,4.31,2040,ChildMort5Yrs,4.47207
4.423,4.135,4.191,2041,ChildMort5Yrs,4.36249
4.316,4.015,4.072,2042,ChildMort5Yrs,4.25323
4.211,3.898,3.957,2043,ChildMort5Yrs,4.14716
4.111,3.787,3.846,2044,ChildMort5Yrs,4.04559
4.014,3.681,3.74,2045,ChildMort5Yrs,3.94779
3.921,3.579,3.638,2046,ChildMort5Yrs,3.85524
3.832,3.481,3.54,2047,ChildMort5Yrs,3.76586
3.747,3.388,3.448,2048,ChildMort5Yrs,3.68105
3.67,3.303,3.362,2049,ChildMort5Yrs,3.6043
3.597,3.225,3.282,2050,ChildMort5Yrs,3.53384
3.53,3.153,3.207,2051,ChildMort5Yrs,3.46803
3.467,3.083,3.136,2052,ChildMort5Yrs,3.40546
3.405,3.016,3.068,2053,ChildMort5Yrs,3.34513
3.345,2.953,3.002,2054,ChildMort5Yrs,3.28666
3.287,2.893,2.939,2055,ChildMort5Yrs,3.23092
3.232,2.836,2.879,2056,ChildMort5Yrs,3.17794
3.179,2.782,2.822,2057,ChildMort5Yrs,3.12751
3.126,2.728,2.767,2058,ChildMort5Yrs,3.07599
3.071,2.674,2.711,2059,ChildMort5Yrs,3.02476
3.017,2.62,2.654,2060,ChildMort5Yrs,2.97235
2.963,2.565,2.599,2061,ChildMort5Yrs,2.92102
2.91,2.511,2.543,2062,ChildMort5Yrs,2.86972
2.857,2.459,2.489,2063,ChildMort5Yrs,2.8191
2.806,2.407,2.436,2064,ChildMort5Yrs,2.76918
2.755,2.358,2.384,2065,ChildMort5Yrs,2.72112
2.705,2.31,2.334,2066,ChildMort5Yrs,2.67271
2.654,2.261,2.284,2067,ChildMort5Yrs,2.62277
2.603,2.212,2.234,2068,ChildMort5Yrs,2.57271
2.552,2.165,2.185,2069,ChildMort5Yrs,2.52301
2.501,2.12,2.138,2070,ChildMort5Yrs,2.47397
2.452,2.075,2.092,2071,ChildMort5Yrs,2.42624
2.404,2.033,2.049,2072,ChildMort5Yrs,2.37981
2.358,1.994,2.008,2073,ChildMort5Yrs,2.33468
2.313,1.956,1.969,2074,ChildMort5Yrs,2.29093
2.27,1.921,1.933,2075,ChildMort5Yrs,2.24867
2.228,1.888,1.899,2076,ChildMort5Yrs,2.20771
2.188,1.858,1.868,2077,ChildMort5Yrs,2.16946
2.151,1.828,1.838,2078,ChildMort5Yrs,2.13352
2.117,1.801,1.81,2079,ChildMort5Yrs,2.10015
2.085,1.774,1.783,2080,ChildMort5Yrs,2.06881
2.055,1.749,1.758,2081,ChildMort5Yrs,2.04013
2.027,1.725,1.733,2082,ChildMort5Yrs,2.01256
2,1.703,1.71,2083,ChildMort5Yrs,1.98645
1.974,1.681,1.688,2084,ChildMort5Yrs,1.96126
1.949,1.66,1.666,2085,ChildMort5Yrs,1.93678
1.925,1.639,1.645,2086,ChildMort5Yrs,1.91302
1.902,1.62,1.625,2087,ChildMort5Yrs,1.89011
1.88,1.601,1.607,2088,ChildMort5Yrs,1.86822
1.859,1.583,1.589,2089,ChildMort5Yrs,1.84741
1.839,1.567,1.572,2090,ChildMort5Yrs,1.82768
1.82,1.551,1.556,2091,ChildMort5Yrs,1.80888
1.802,1.536,1.541,2092,ChildMort5Yrs,1.79082
1.784,1.522,1.526,2093,ChildMort5Yrs,1.77337
1.767,1.508,1.513,2094,ChildMort5Yrs,1.75657
1.75,1.495,1.499,2095,ChildMort5Yrs,1.74019
1.734,1.482,1.486,2096,ChildMort5Yrs,1.72417
1.718,1.469,1.473,2097,ChildMort5Yrs,1.70841
1.702,1.457,1.46,2098,ChildMort5Yrs,1.69296
1.687,1.445,1.448,2099,ChildMort5Yrs,1.67885
1.673,1.434,1.437,2100,ChildMort5Yrs,1.66472
27.51,27.51,27.51,2019,ENDEM,27.51
27.62,27.62,27.62,2020,ENDEM,27.62
27.71,27.71,27.71,2021,ENDEM,27.71
28.12,28.12,28.12,2022,ENDEM,28.12
28.25,28.25,28.25,2023,ENDEM,28.25
28.56,28.56,28.56,2024,ENDEM,28.56
28.81,28.5,28.81,2025,ENDEM,28.5
29,28.36,28.99,2026,ENDEM,28.36
29.14,28.21,29.13,2027,ENDEM,28.22
29.48,28.3,29.5,2028,ENDEM,28.28
29.81,28.43,29.88,2029,ENDEM,28.37
30.13,28.61,30.26,2030,ENDEM,28.49
30.44,28.8,30.63,2031,ENDEM,28.62
30.72,28.98,30.99,2032,ENDEM,28.73
30.97,29.18,31.32,2033,ENDEM,28.85
31.21,29.35,31.65,2034,ENDEM,28.94
31.44,29.51,31.97,2035,ENDEM,29
31.64,29.65,32.28,2036,ENDEM,29.03
31.82,29.3,32.59,2037,ENDEM,28.59
31.99,28.94,32.89,2038,ENDEM,28.13
32.16,28.57,33.21,2039,ENDEM,27.65
32.34,28.3,33.54,2040,ENDEM,27.27
32.54,28.01,33.87,2041,ENDEM,26.89
32.75,27.73,34.22,2042,ENDEM,26.52
32.97,27.45,34.59,2043,ENDEM,26.15
33.18,27.15,34.96,2044,ENDEM,25.76
33.39,26.82,35.33,2045,ENDEM,25.34
33.59,26.4,35.7,2046,ENDEM,24.86
33.79,26.77,36.06,2047,ENDEM,25.1
33.97,27.12,36.41,2048,ENDEM,25.33
34.14,27.46,36.75,2049,ENDEM,25.55
34.27,27.77,37.06,2050,ENDEM,25.74
34.4,28.03,37.37,2051,ENDEM,25.88
34.52,28.26,37.66,2052,ENDEM,26
34.63,28.47,37.94,2053,ENDEM,26.1
34.74,28.64,38.22,2054,ENDEM,26.17
34.85,28.79,38.5,2055,ENDEM,26.23
34.97,28.66,38.79,2056,ENDEM,26.03
35.1,28.51,39.09,2057,ENDEM,25.82
35.23,28.34,39.38,2058,ENDEM,25.59
35.37,28.18,39.68,2059,ENDEM,25.38
35.52,28.01,39.99,2060,ENDEM,25.15
35.68,27.84,40.3,2061,ENDEM,24.93
35.85,27.69,40.63,2062,ENDEM,24.71
36.02,27.54,40.97,2063,ENDEM,24.51
36.2,27.38,41.31,2064,ENDEM,24.3
36.37,27.22,41.64,2065,ENDEM,24.09
36.53,27.03,41.96,2066,ENDEM,23.87
36.68,26.82,42.26,2067,ENDEM,23.64
36.88,26.62,42.6,2068,ENDEM,23.43
37.09,26.39,42.93,2069,ENDEM,23.22
37.3,26.18,43.25,2070,ENDEM,23.02
37.51,25.92,43.55,2071,ENDEM,22.79
37.72,25.63,43.84,2072,ENDEM,22.53
37.91,25.32,44.11,2073,ENDEM,22.26
38.1,24.99,44.36,2074,ENDEM,21.98
38.27,24.64,44.59,2075,ENDEM,21.67
38.43,24.26,44.8,2076,ENDEM,21.35
38.59,23.88,44.99,2077,ENDEM,21.01
38.73,23.48,45.17,2078,ENDEM,20.66
38.87,23.08,45.34,2079,ENDEM,20.31
39.01,22.68,45.5,2080,ENDEM,19.95
39.15,22.28,45.65,2081,ENDEM,19.6
39.28,21.88,45.8,2082,ENDEM,19.24
39.43,21.48,45.96,2083,ENDEM,18.89
39.58,21.09,46.05,2084,ENDEM,18.54
39.75,20.71,46.09,2085,ENDEM,18.2
39.94,20.34,46.14,2086,ENDEM,17.87
